Type,Team,Sample,Quadrant,Distance,DBH,Acer negundo (Boxwood elder),Bumelia lanuginosa (Gum elastic),Carya illinoiensis (Pecan),Celtis spp. (Hackberry),Fraxinus texana (Texas ash),Juniperus spp. (Juniper),Melia azederach (Chinaberry),Morus rubra (Red mulberry),Populus deltoides (Cottonwood),Prunus caroliniana (Laurel cherry),Quercus buckleyi (Spanish oak),Quercus fusiformis (Live oak),Quercus stellata (Post Oak),Triadica sebifera (Chinese Tallow),Ulmus americana (American elm),Ulmus crassifolia (Cedar elm)
Q-C,C,1,b,5.1333333333,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Q-U,C,1,b,6.9666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Q-C,C,1,c,2.9333333333,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Q-U,C,1,c,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Q-C,C,1,d,7.3333333333,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Q-C,C,2,a,1.4666666667,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Q-U,C,2,a,1.4666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Q-C,C,2,b,6.6,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Q-U,C,2,b,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Q-U,C,2,d,3.6666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Q-U,C,3,a,2.2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Q-U,C,3,b,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q-C,C,3,c,8.0666666667,105,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q-U,C,3,c,2.9333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Q-C,C,3,d,2.9333333333,72,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q-U,C,3,d,3.6666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R-C,C,1,a,8.8,62,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-C,C,1,b,16.1333333333,80,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-C,C,1,c,8.0666666667,135,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-U,C,1,c,3.6666666667,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-C,C,1,d,2.2,99,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-U,C,1,d,8.0666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
R-C,C,2,a,7.3333333333,101,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-U,C,2,a,8.8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-C,C,2,b,4.4,128,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-U,C,2,b,7.3333333333,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-C,C,2,c,7.3333333333,97,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
